X,Y,Letter,Order,Pub,Postcode
-0.118779,51.4618297,B,1,The Trinity Arms,SW98DR
-0.1197023,51.463306,B,2,The Duke of Edinburgh,SW98AG
-0.1140025,51.4597008,B,3,The Effra,SW21EB
-0.1199417,51.4550174,B,4,The White Horse,SW21QN
-0.0797914,51.5462803,D,1,The Duke of Wellington,N14BL
-0.0817138,51.5437318,D,2,The Scolt Head,N14HT
-0.0790465,51.5428297,D,3,The Talbot,N14JY
-0.0681182,51.5447264,D,4,The Prince George,E83AG
-0.1327524,51.5269251,E,1,The Euston Tap,NW12EF
-0.1357875,51.5271681,E,2,The Bree Louise,NW12HH
-0.1321829,51.5280439,E,3,The Doric Arch,NW12DN
-0.129916,51.5298035,E,4,Somers Town Coffee House,NW11HS
-0.1039203,51.5216559,F,1,The Jerusalem Tavern,EC1M5UQ
-0.1059933,51.5232558,F,2,The Three Kings,EC1R0DY
-0.1104007,51.5225946,F,3,Gunmakers,EC1R5ET
-0.1097978,51.5211577,F,4,The Craft Beer Company,EC1N7TR
-0.1012624,51.523301,F,5,The Slaughtered Lamb,EC1V0DX
-0.0099762,51.4766628,G,1,The Greenwich Union,SE108RT
-0.0097949,51.4817522,G,2,The Gipsy Moth,SE109BL
-0.000549,51.4819989,G,3,The Plume of Feathers,SE109LZ
0.002655,51.4866782,G,4,The Pelton Arms,SE109PQ
-0.1792133,51.5575114,H,1,The Holly Bush,NW36SG
-0.1734851,51.5696023,H,2,The Spaniards Inn,NW37JJ
-0.1629777,51.5532616,H,3,The Stag,NW32QU
-0.1507333,51.5703735,H,4,The Flask,N66BU
-0.0075576,51.5024835,I,1,The Gun,E149NS
-0.0123609,51.4874986,I,2,The Lord Nelson,E143BD
-0.0186346,51.4881135,I,3,The Ship,E143AG
-0.024088,51.4922586,I,4,Hubbub,E143RS
-0.1377048,51.5058111,J,1,The Old Red Lion,SW1Y6PP
-0.1514629,51.509695,J,2,The Audley,W1K2RX
-0.1462177,51.5084698,J,3,The Only Running Footman,W1J5DF
-0.1364768,51.5083172,J,4,The Red Lion,SW1Y6JP
-0.0997209,51.4856801,K,1,The Beehive,SE173EW
-0.0937499,51.4881187,K,2,The Good Intent,SE172DN
-0.0948412,51.4853265,K,3,Orbit Beers,SE173HD
-0.1032536,51.4831565,K,4,Canterbury Arms,SE173NG
-0.111244,51.4806329,K,5,Cable Cafe,SW96BU
-0.0329029,51.5086792,L,1,The Grapes,E148BP
-0.0510109,51.5071535,L,2,The Prospect of Whitby,E1W3SH
-0.0600363,51.5029201,L,3,The Captain Kidd,E1W2NE
-0.0621008,51.5032885,L,4,Town of Ramsgate,E1W2PN
-0.1556778,51.519689,M,1,The Barley Mow,W1U6QW
-0.1615384,51.5193731,M,2,The Duke of Wellington,W1H2HQ
-0.1461865,51.5200503,M,3,The Dover Castle,W1G7EQ
-0.1507935,51.517642,M,4,The Golden Eagle,W1U2NY
-0.1948902,51.5067157,N,1,"The Churchill Arms,",W87LN
-0.1987513,51.5063807,N,2,The Windsor Castle,W87AR
-0.2089463,51.5163826,N,3,The Elgin,W111PY
-0.1949762,51.519035,N,4,"The Cow,",W25QH
-0.0702092,51.4630177,P,1,The Gowlett Arms,SE154HY
-0.0771106,51.4740934,P,2,The Peckham Pelican,SE155PY
-0.0916849,51.4738367,P,3,Hermits Cave,SE58QU
-0.089576,51.4737562,P,4,Stormbird,SE58TR
-0.2053123,51.5353647,Q,1,The Salusbury,NW66NN
-0.2045731,51.5350374,Q,2,Alice House Queens Park,NW66NJ
-0.1914249,51.5379351,Q,3,The Priory Tavern,NW64BT
-0.1995686,51.5435087,Q,4,The Black Lion,NW62BY
-0.0820245,51.5556469,S,1,The Shakespeare,N168RY
-0.0794683,51.5618948,S,2,The Auld Shillelagh,N160UD
-0.0733115,51.5631317,S,3,The Jolly Butchers,N167HU
-0.0825921,51.5610708,S,4,Ryan's Bar,N160UL
-0.1878822,51.4631347,W,1,The Ship,SW181TB
-0.1916591,51.4514761,W,2,The Old Sergeant,SW184DJ
-0.1856478,51.4585426,W,3,The East Hill,SW181AA
-0.1882075,51.4568974,W,4,The Brewers Inn,SW182QB
-0.190884,51.4589446,W,5,The Grapes,SW181DX
-0.0999619,51.5192773,C,1,The Old Red Cow,EC1A 9EJ
-0.1103812,51.5176663,C,2,The Inn of Court,EC1N 2LE
-0.107383,51.5143427,C,3,Ye Olde Cheshire Cheese,EC4A 2BU
-0.1035633,51.5120876,C,4,The Blackfriar,EC4V 4EG
-0.1012249,51.5129519,C,5,The Cockpit,EC4V 5BY
